,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
190,lira,17,class,2,2500,2500,0.0384,0.7778,0.5196,0.1164,0.0008
191,lira,17,class,3,2500,2500,0.0508,0.6667,0.5304,0.1284,0.0008
192,lira,17,class,4,2500,2500,0.0532,1.0000,0.5292,0.1044,0.0016
193,lira,17,class,5,2500,2500,0.0268,0.8000,0.5083,0.0952,0.0016
194,lira,17,class,6,2500,2500,0.0320,0.6667,0.5146,0.1020,0.0004
195,lira,17,class,7,2500,2500,0.0284,0.5556,0.5087,0.1060,0.0000
196,lira,17,class,8,2500,2500,0.0212,0.8000,0.5027,0.0920,0.0004
197,lira,17,class,9,2500,2500,0.0348,1.0000,0.5145,0.1068,0.0012
198,lira,18,Entire dataset,,25000,25000,0.0197,0.7234,0.5129,0.1080,0.0015
199,lira,18,class,0,2500,2500,0.0404,0.8462,0.5237,0.1268,0.0020
200,lira,18,class,1,2500,2500,0.0280,0.8333,0.5080,0.1024,0.0036
201,lira,18,class,2,2500,2500,0.0252,0.7500,0.5109,0.1044,0.0008
202,lira,18,class,3,2500,2500,0.0296,0.8571,0.5169,0.1176,0.0044
203,lira,18,class,4,2500,2500,0.0436,1.0000,0.5197,0.1256,0.0024
204,lira,18,class,5,2500,2500,0.0168,0.7500,0.5042,0.0948,0.0016
205,lira,18,class,6,2500,2500,0.0356,0.7600,0.5142,0.0976,0.0016
206,lira,18,class,7,2500,2500,0.0412,0.6774,0.5196,0.1108,0.0012
207,lira,18,class,8,2500,2500,0.0188,0.8000,0.5066,0.1136,0.0016
208,lira,18,class,9,2500,2500,0.0200,1.0000,0.5076,0.1016,0.0016
209,lira,19,Entire dataset,,25000,25000,0.0205,0.6212,0.5127,0.1114,0.0016
210,lira,19,class,0,2500,2500,0.0480,0.7143,0.5153,0.1072,0.0020
211,lira,19,class,1,2500,2500,0.0304,0.6429,0.5132,0.1140,0.0004
212,lira,19,class,2,2500,2500,0.0268,0.6071,0.5111,0.1028,0.0000
213,lira,19,class,3,2500,2500,0.0232,1.0000,0.5131,0.1008,0.0016
214,lira,19,class,4,2500,2500,0.0312,0.8333,0.5148,0.1152,0.0040
215,lira,19,class,5,2500,2500,0.0468,0.5570,0.5276,0.1196,0.0004
216,lira,19,class,6,2500,2500,0.0156,0.6250,0.4984,0.1000,0.0012
217,lira,19,class,7,2500,2500,0.0352,0.7500,0.5070,0.1252,0.0012
218,lira,19,class,8,2500,2500,0.0176,0.8000,0.5007,0.1012,0.0016
219,lira,19,class,9,2500,2500,0.0588,0.6667,0.5297,0.1136,0.0008
220,lira,20,Entire dataset,,25000,25000,0.0246,0.5839,0.5151,0.1122,0.0011
221,lira,20,class,0,2500,2500,0.0472,0.7500,0.5218,0.1076,0.0008
222,lira,20,class,1,2500,2500,0.0264,1.0000,0.5122,0.1052,0.0020
223,lira,20,class,2,2500,2500,0.0316,1.0000,0.5071,0.1016,0.0012
224,lira,20,class,3,2500,2500,0.0312,0.7778,0.5136,0.1068,0.0008
225,lira,20,class,4,2500,2500,0.0656,0.5807,0.5357,0.1324,0.0004
226,lira,20,class,5,2500,2500,0.0500,0.6364,0.5195,0.1076,0.0012
227,lira,20,class,6,2500,2500,0.0512,1.0000,0.5149,0.1224,0.0020
228,lira,20,class,7,2500,2500,0.0268,0.5443,0.5109,0.1076,0.0000
229,lira,20,class,8,2500,2500,0.0248,0.5797,0.5082,0.1060,0.0004
230,lira,20,class,9,2500,2500,0.0284,0.7059,0.5122,0.1052,0.0008
231,lira,21,Entire dataset,,25000,25000,0.0244,0.5815,0.5149,0.1110,0.0009
232,lira,21,class,0,2500,2500,0.0568,0.8333,0.5241,0.1072,0.0008
233,lira,21,class,1,2500,2500,0.0320,0.6154,0.5117,0.1116,0.0004
234,lira,21,class,2,2500,2500,0.0388,0.8125,0.5212,0.1048,0.0012
235,lira,21,class,3,2500,2500,0.0316,0.7000,0.5137,0.1240,0.0008
236,lira,21,class,4,2500,2500,0.0316,0.7273,0.5156,0.1008,0.0012
237,lira,21,class,5,2500,2500,0.0392,0.8750,0.5185,0.1252,0.0028
