,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
96,lira,8,class,7,3132,3133,0.0577,1.0000,0.5400,0.1392,0.0211
97,lira,8,class,8,2925,2926,0.0686,1.0000,0.5501,0.1494,0.0209
98,lira,8,class,9,2974,2975,0.0672,1.0000,0.5480,0.1365,0.0252
99,lira,9,Entire dataset,,29997,30003,0.0566,1.0000,0.5459,0.1409,0.0154
100,lira,9,class,0,2961,2962,0.0427,1.0000,0.5234,0.1094,0.0047
101,lira,9,class,1,3371,3371,0.0400,1.0000,0.5290,0.1225,0.0074
102,lira,9,class,2,2979,2979,0.0906,1.0000,0.5601,0.1507,0.0175
103,lira,9,class,3,3065,3066,0.0749,1.0000,0.5555,0.1488,0.0111
104,lira,9,class,4,2921,2921,0.0579,1.0000,0.5397,0.1428,0.0137
105,lira,9,class,5,2710,2711,0.0780,1.0000,0.5595,0.1528,0.0262
106,lira,9,class,6,2959,2959,0.0558,1.0000,0.5404,0.1362,0.0162
107,lira,9,class,7,3132,3133,0.0561,1.0000,0.5424,0.1536,0.0128
108,lira,9,class,8,2925,2926,0.0736,1.0000,0.5553,0.1456,0.0202
109,lira,9,class,9,2974,2975,0.0802,1.0000,0.5564,0.1399,0.0175
110,lira,10,Entire dataset,,29997,30003,0.0512,1.0000,0.5434,0.1378,0.0202
111,lira,10,class,0,2961,2962,0.0393,1.0000,0.5225,0.1182,0.0091
112,lira,10,class,1,3371,3371,0.0400,1.0000,0.5266,0.1258,0.0122
113,lira,10,class,2,2979,2979,0.0846,1.0000,0.5643,0.1558,0.0255
114,lira,10,class,3,3065,3066,0.0595,1.0000,0.5437,0.1331,0.0173
115,lira,10,class,4,2921,2921,0.0483,1.0000,0.5369,0.1407,0.0181
116,lira,10,class,5,2710,2711,0.0854,1.0000,0.5647,0.1590,0.0328
117,lira,10,class,6,2959,2959,0.0662,1.0000,0.5473,0.1446,0.0135
118,lira,10,class,7,3132,3133,0.0507,1.0000,0.5331,0.1255,0.0201
119,lira,10,class,8,2925,2926,0.0694,1.0000,0.5545,0.1463,0.0178
120,lira,10,class,9,2974,2975,0.0611,1.0000,0.5447,0.1382,0.0219
121,lira,11,Entire dataset,,29997,30003,0.0536,1.0000,0.5464,0.1415,0.0172
122,lira,11,class,0,2961,2962,0.0511,1.0000,0.5343,0.1290,0.0105
123,lira,11,class,1,3371,3371,0.0519,1.0000,0.5304,0.1270,0.0089
124,lira,11,class,2,2979,2979,0.0846,1.0000,0.5678,0.1662,0.0279
125,lira,11,class,3,3065,3066,0.0893,1.0000,0.5658,0.1442,0.0170
126,lira,11,class,4,2921,2921,0.0606,1.0000,0.5413,0.1301,0.0120
127,lira,11,class,5,2710,2711,0.0726,1.0000,0.5559,0.1565,0.0247
128,lira,11,class,6,2959,2959,0.0649,1.0000,0.5495,0.1453,0.0145
