,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
151,lira,13,class,7,2797,2798,0.2655,1.0000,0.7015,0.3093,0.0947
152,lira,13,class,8,2522,2523,0.3701,1.0000,0.7794,0.4262,0.1538
153,lira,13,class,9,2329,2330,0.3111,1.0000,0.7422,0.3611,0.1112
154,lira,14,Entire dataset,,36625,36632,0.2815,1.0000,0.7210,0.3283,0.0947
155,lira,14,class,0,2474,2474,0.2542,1.0000,0.6989,0.3076,0.0974
156,lira,14,class,1,6930,6931,0.2004,1.0000,0.6577,0.2456,0.0512
157,lira,14,class,2,5292,5293,0.2304,1.0000,0.6771,0.2591,0.0673
158,lira,14,class,3,4248,4249,0.3626,1.0000,0.7732,0.4143,0.1076
159,lira,14,class,4,3729,3729,0.2389,1.0000,0.6904,0.3020,0.0826
160,lira,14,class,5,3441,3441,0.3357,1.0000,0.7539,0.3676,0.0994
161,lira,14,class,6,2863,2864,0.3714,1.0000,0.7814,0.4293,0.1299
162,lira,14,class,7,2797,2798,0.2941,1.0000,0.7227,0.3193,0.1115
163,lira,14,class,8,2522,2523,0.3772,1.0000,0.7831,0.4239,0.1598
164,lira,14,class,9,2329,2330,0.3489,1.0000,0.7599,0.3830,0.1082
165,lira,15,Entire dataset,,36625,36632,0.2705,1.0000,0.7147,0.3282,0.0873
166,lira,15,class,0,2474,2474,0.2462,1.0000,0.6941,0.3032,0.0707
167,lira,15,class,1,6930,6931,0.2055,1.0000,0.6586,0.2550,0.0505
168,lira,15,class,2,5292,5293,0.2087,1.0000,0.6641,0.2553,0.0569
169,lira,15,class,3,4248,4249,0.3699,1.0000,0.7767,0.4174,0.1132
170,lira,15,class,4,3729,3729,0.2231,1.0000,0.6794,0.2859,0.0965
171,lira,15,class,5,3441,3441,0.3316,1.0000,0.7471,0.3580,0.1061
172,lira,15,class,6,2863,2864,0.3309,1.0000,0.7605,0.4111,0.1111
173,lira,15,class,7,2797,2798,0.2730,1.0000,0.7158,0.3414,0.1080
174,lira,15,class,8,2522,2523,0.3658,1.0000,0.7784,0.4342,0.1372
175,lira,15,class,9,2329,2330,0.3419,1.0000,0.7555,0.3761,0.0966
176,lira,16,Entire dataset,,36625,36632,0.2676,1.0000,0.7117,0.3216,0.0926
177,lira,16,class,0,2474,2474,0.2563,1.0000,0.7010,0.3052,0.0837
178,lira,16,class,1,6930,6931,0.1943,1.0000,0.6548,0.2488,0.0538
179,lira,16,class,2,5292,5293,0.1919,1.0000,0.6589,0.2642,0.0731
180,lira,16,class,3,4248,4249,0.3614,1.0000,0.7684,0.3917,0.1217
181,lira,16,class,4,3729,3729,0.2143,1.0000,0.6712,0.2800,0.0756
182,lira,16,class,5,3441,3441,0.3328,1.0000,0.7501,0.3705,0.1174
183,lira,16,class,6,2863,2864,0.3547,1.0000,0.7726,0.4167,0.1002
184,lira,16,class,7,2797,2798,0.2597,1.0000,0.7044,0.3100,0.1058
185,lira,16,class,8,2522,2523,0.3764,1.0000,0.7748,0.4064,0.1408
186,lira,16,class,9,2329,2330,0.3287,1.0000,0.7478,0.3572,0.1018
187,lira,17,Entire dataset,,36625,36632,0.2681,1.0000,0.7143,0.3237,0.0883
188,lira,17,class,0,2474,2474,0.2555,1.0000,0.7040,0.3169,0.0849
189,lira,17,class,1,6930,6931,0.1950,1.0000,0.6588,0.2519,0.0566
190,lira,17,class,2,5292,5293,0.2182,1.0000,0.6717,0.2672,0.0573
191,lira,17,class,3,4248,4249,0.3374,1.0000,0.7578,0.3783,0.0852
192,lira,17,class,4,3729,3729,0.2261,1.0000,0.6763,0.2625,0.0670
193,lira,17,class,5,3441,3441,0.3252,1.0000,0.7448,0.3705,0.1206
194,lira,17,class,6,2863,2864,0.3599,1.0000,0.7725,0.4115,0.1114
195,lira,17,class,7,2797,2798,0.2762,1.0000,0.7155,0.3257,0.0851
196,lira,17,class,8,2522,2523,0.3737,1.0000,0.7798,0.4171,0.1340
197,lira,17,class,9,2329,2330,0.3321,1.0000,0.7520,0.3809,0.0854
198,lira,18,Entire dataset,,36625,36632,0.2729,1.0000,0.7177,0.3303,0.0949
199,lira,18,class,0,2474,2474,0.2538,1.0000,0.7003,0.3133,0.0768
200,lira,18,class,1,6930,6931,0.2064,1.0000,0.6640,0.2566,0.0563
201,lira,18,class,2,5292,5293,0.2019,1.0000,0.6663,0.2715,0.0675
202,lira,18,class,3,4248,4249,0.3462,1.0000,0.7645,0.3955,0.1144
203,lira,18,class,4,3729,3729,0.2250,1.0000,0.6820,0.2875,0.0829
204,lira,18,class,5,3441,3441,0.3298,1.0000,0.7509,0.3711,0.0796
205,lira,18,class,6,2863,2864,0.3651,1.0000,0.7703,0.3929,0.1306
206,lira,18,class,7,2797,2798,0.3022,1.0000,0.7249,0.3196,0.0894
207,lira,18,class,8,2522,2523,0.3697,1.0000,0.7816,0.4429,0.1531
208,lira,18,class,9,2329,2330,0.3466,1.0000,0.7630,0.3985,0.1224
209,lira,19,Entire dataset,,36625,36632,0.2726,1.0000,0.7156,0.3250,0.0923
